design_library_admob_dialog_confirm_delete_adunit	You are about to delete the selected Ad Unit. Are you sure?
design_library_admob_dialog_confirm_delete_test_device	You are about to delete the selected Test Device ID. Are you sure?
design_library_admob_dialog_delete_adunit_title	Delete ad unit
design_library_admob_dialog_delete_test_device_title	Delete Test Device
design_library_admob_dialog_description_confirm_uncheck	If you uncheck the option for AdMob, existing AdMob widgets and components will be deleted. Are you sure you want to continue?
design_library_admob_dialog_select_unit_title	Select ad unit
design_library_admob_dialog_set_app_id	Enter app ID
design_library_admob_dialog_set_app_id_title	App ID
design_library_admob_dialog_set_test_device_hint_device_id	Device ID
design_library_admob_dialog_set_test_device_title	Test devices
design_library_admob_dialog_set_test_device_warning_duplicated	Duplicate device ID found
design_library_admob_message_failed_to_request	Request for Ad unit failed. Please double check your AdMob account [%s].
design_library_admob_message_no_test_device	No test device ID to display
design_library_admob_message_no_unit_id	No ad unit ID to display
design_library_admob_message_select_ad_unit	Please select appropriate ad Unit for each item
design_library_admob_setting_message_add_ad_unit	At least one ad Unit ID is needed
design_library_admob_setting_message_add_app_id	App ID is required
design_library_admob_setting_step1_title	Add app ID
design_library_admob_setting_step1_desc	The unique ID assigned to your app. You\'ll need to add the app ID here.
